2021 output area,mnemonic,Cannot understand spoken Welsh,% Cannot understand spoken Welsh,Can understand spoken Welsh,% Can understand spoken Welsh,2021 output area,mnemonic,Europe: United Kingdom,% Europe: United Kingdom,No passport held,% No passport held,combined uk,% combined uk,2021 output area,mnemonic,Cannot read Welsh,% cannot read Welsh,Can read Welsh,% Can read Welsh,2021 output area,mnemonic,Welsh only identity,% Welsh only identity,Welsh and British only identity,% Welsh and British only identity,Combined Welsh and British,% Combined Welsh and British
W00008877,W00008877,219,71.3,88,28.7,W00008877,W00008877,278,88.0,19,6.0,297,94.0,W00008877,W00008877,227,73.7,81,26.3,W00008877,W00008877,148,47.3,24,7.7,172,55.0
W00008878,W00008878,275,68.4,127,31.6,W00008878,W00008878,306,69.9,66,15.1,372,85.0,W00008878,W00008878,301,74.9,101,25.1,W00008878,W00008878,172,39.5,35,8.0,207,47.5
W00008879,W00008879,170,60.1,113,39.9,W00008879,W00008879,252,86.3,20,6.8,272,93.1,W00008879,W00008879,184,64.8,100,35.2,W00008879,W00008879,168,57.7,30,10.3,198,68.0
W00008880,W00008880,284,77.6,82,22.4,W00008880,W00008880,286,74.9,43,11.3,329,86.2,W00008880,W00008880,285,78.3,79,21.7,W00008880,W00008880,169,44.1,25,6.5,194,50.6
W00008881,W00008881,284,81.4,65,18.6,W00008881,W00008881,279,78.2,24,6.7,303,84.9,W00008881,W00008881,284,81.4,65,18.6,W00008881,W00008881,145,40.8,26,7.3,171,48.1
W00008882,W00008882,289,81.4,66,18.6,W00008882,W00008882,291,79.9,37,10.2,328,90.1,W00008882,W00008882,309,86.6,48,13.4,W00008882,W00008882,177,48.6,35,9.6,212,58.2
W00008883,W00008883,244,87.1,36,12.9,W00008883,W00008883,222,76.8,42,14.5,264,91.3,W00008883,W00008883,252,90.0,28,10.0,W00008883,W00008883,151,51.9,42,14.4,193,66.3
W00008884,W00008884,206,80.2,51,19.8,W00008884,W00008884,179,68.1,60,22.8,239,90.9,W00008884,W00008884,240,93.4,17,6.6,W00008884,W00008884,105,39.9,20,7.6,125,47.5
W00008886,W00008886,208,57.3,155,42.7,W00008886,W00008886,345,93.2,13,3.5,358,96.7,W00008886,W00008886,223,60.9,143,39.1,W00008886,W00008886,243,65.1,26,7.0,269,72.1
W00008887,W00008887,182,58.5,129,41.5,W00008887,W00008887,285,90.2,19,6.0,304,96.2,W00008887,W00008887,192,61.7,119,38.3,W00008887,W00008887,152,48.6,37,11.8,189,60.4
W00008888,W00008888,194,85.5,33,14.5,W00008888,W00008888,191,82.3,32,13.8,223,96.1,W00008888,W00008888,199,88.1,27,11.9,W00008888,W00008888,127,54.7,24,10.3,151,65.0
W00008889,W00008889,186,63.9,105,36.1,W00008889,W00008889,256,85.6,20,6.7,276,92.3,W00008889,W00008889,200,68.5,92,31.5,W00008889,W00008889,151,50.5,29,9.7,180,60.2
W00008890,W00008890,186,64.4,103,35.6,W00008890,W00008890,275,92.3,14,4.7,289,97.0,W00008890,W00008890,185,64.0,104,36.0,W00008890,W00008890,172,57.3,28,9.3,200,66.6
W00008891,W00008891,165,75.3,54,24.7,W00008891,W00008891,194,85.1,27,11.8,221,96.9,W00008891,W00008891,175,79.9,44,20.1,W00008891,W00008891,118,52.2,16,7.1,134,59.3
W00008892,W00008892,161,51.6,151,48.4,W00008892,W00008892,295,93.4,15,4.7,310,98.1,W00008892,W00008892,163,52.2,149,47.8,W00008892,W00008892,217,68.2,20,6.3,237,74.5
W00008893,W00008893,251,73.8,89,26.2,W00008893,W00008893,300,85.7,36,10.3,336,96.0,W00008893,W00008893,266,79.2,70,20.8,W00008893,W00008893,188,53.6,31,8.8,219,62.4
W00008894,W00008894,214,68.8,97,31.2,W00008894,W00008894,283,88.4,28,8.8,311,97.2,W00008894,W00008894,216,69.5,95,30.5,W00008894,W00008894,206,64.8,21,6.6,227,71.4
W00008895,W00008895,175,65.8,91,34.2,W00008895,W00008895,238,85.6,22,7.9,260,93.5,W00008895,W00008895,182,68.4,84,31.6,W00008895,W00008895,148,53.6,13,4.7,161,58.3
W00008896,W00008896,160,68.4,74,31.6,W00008896,W00008896,188,79.3,33,13.9,221,93.2,W00008896,W00008896,169,72.2,65,27.8,W00008896,W00008896,130,54.6,14,5.9,144,60.5
W00008897,W00008897,144,75.8,46,24.2,W00008897,W00008897,160,83.8,17,8.9,177,92.7,W00008897,W00008897,154,81.1,36,18.9,W00008897,W00008897,103,53.6,9,4.7,112,58.3
W00008899,W00008899,421,89.0,52,11.0,W00008899,W00008899,409,86.7,17,3.6,426,90.3,W00008899,W00008899,418,88.4,55,11.6,W00008899,W00008899,131,27.5,12,2.5,143,30.0
W00008901,W00008901,472,88.7,60,11.3,W00008901,W00008901,471,88.0,11,2.1,482,90.1,W00008901,W00008901,467,87.8,65,12.2,W00008901,W00008901,116,21.7,9,1.7,125,23.4
W00008902,W00008902,465,85.5,79,14.5,W00008902,W00008902,436,78.4,55,9.9,491,88.3,W00008902,W00008902,471,86.6,73,13.4,W00008902,W00008902,183,33.0,28,5.1,211,38.1
W00008903,W00008903,487,87.7,68,12.3,W00008903,W00008903,494,89.0,27,4.9,521,93.9,W00008903,W00008903,490,88.3,65,11.7,W00008903,W00008903,147,26.3,16,2.9,163,29.2
W00008906,W00008906,385,90.4,41,9.6,W00008906,W00008906,333,77.6,19,4.4,352,82.0,W00008906,W00008906,387,91.3,37,8.7,W00008906,W00008906,97,22.4,14,3.2,111,25.6
W00008909,W00008909,448,87.5,64,12.5,W00008909,W00008909,453,88.3,11,2.1,464,90.4,W00008909,W00008909,451,87.9,62,12.1,W00008909,W00008909,151,29.3,11,2.1,162,31.4
W00008910,W00008910,558,89.7,64,10.3,W00008910,W00008910,570,91.2,14,2.2,584,93.4,W00008910,W00008910,562,90.4,60,9.6,W00008910,W00008910,119,19.1,15,2.4,134,21.5
W00008911,W00008911,283,88.7,36,11.3,W00008911,W00008911,256,78.3,35,10.7,291,89.0,W00008911,W00008911,283,88.7,36,11.3,W00008911,W00008911,91,27.9,17,5.2,108,33.1
W00008912,W00008912,477,88.7,61,11.3,W00008912,W00008912,395,72.7,22,4.1,417,76.8,W00008912,W00008912,479,89.2,58,10.8,W00008912,W00008912,129,23.8,15,2.8,144,26.6
W00008913,W00008913,380,88.0,52,12.0,W00008913,W00008913,360,83.3,20,4.6,380,87.9,W00008913,W00008913,379,87.7,53,12.3,W00008913,W00008913,74,17.1,17,3.9,91,21.0
W00008915,W00008915,408,93.8,27,6.2,W00008915,W00008915,348,79.6,15,3.4,363,83.0,W00008915,W00008915,407,93.6,28,6.4,W00008915,W00008915,72,16.5,16,3.7,88,20.2
W00008916,W00008916,420,89.2,51,10.8,W00008916,W00008916,389,82.2,25,5.3,414,87.5,W00008916,W00008916,426,90.3,46,9.7,W00008916,W00008916,102,21.4,6,1.3,108,22.7
W00008918,W00008918,414,86.8,63,13.2,W00008918,W00008918,393,81.7,32,6.7,425,88.4,W00008918,W00008918,418,87.4,60,12.6,W00008918,W00008918,131,27.0,17,3.5,148,30.5
W00008919,W00008919,236,89.7,27,10.3,W00008919,W00008919,224,82.4,29,10.7,253,93.1,W00008919,W00008919,239,90.9,24,9.1,W00008919,W00008919,69,25.4,16,5.9,85,31.3
W00008920,W00008920,413,87.3,60,12.7,W00008920,W00008920,398,82.7,20,4.2,418,86.9,W00008920,W00008920,416,87.8,58,12.2,W00008920,W00008920,113,23.3,27,5.6,140,28.9
W00008921,W00008921,254,85.2,44,14.8,W00008921,W00008921,221,72.7,29,9.5,250,82.2,W00008921,W00008921,260,87.2,38,12.8,W00008921,W00008921,102,33.1,13,4.2,115,37.3
W00008922,W00008922,476,88.3,63,11.7,W00008922,W00008922,429,78.7,18,3.3,447,82.0,W00008922,W00008922,473,88.1,64,11.9,W00008922,W00008922,117,21.4,21,3.8,138,25.2
W00008923,W00008923,317,78.7,86,21.3,W00008923,W00008923,319,77.1,31,7.5,350,84.6,W00008923,W00008923,334,82.9,69,17.1,W00008923,W00008923,130,31.6,15,3.6,145,35.2
W00008924,W00008924,439,89.6,51,10.4,W00008924,W00008924,393,79.2,30,6.0,423,85.2,W00008924,W00008924,437,89.2,53,10.8,W00008924,W00008924,125,25.2,31,6.2,156,31.4
W00008925,W00008925,372,85.5,63,14.5,W00008925,W00008925,383,86.5,23,5.2,406,91.7,W00008925,W00008925,383,88.0,52,12.0,W00008925,W00008925,136,30.8,16,3.6,152,34.4
W00008926,W00008926,283,79.5,73,20.5,W00008926,W00008926,300,81.7,21,5.7,321,87.4,W00008926,W00008926,293,82.8,61,17.2,W00008926,W00008926,125,34.7,17,4.7,142,39.4
W00008927,W00008927,354,84.9,63,15.1,W00008927,W00008927,366,86.7,13,3.1,379,89.8,W00008927,W00008927,357,86.0,58,14.0,W00008927,W00008927,103,24.5,26,6.2,129,30.7
W00008929,W00008929,339,89.7,39,10.3,W00008929,W00008929,301,78.2,24,6.2,325,84.4,W00008929,W00008929,330,87.3,48,12.7,W00008929,W00008929,90,23.4,25,6.5,115,29.9
W00008931,W00008931,387,87.2,57,12.8,W00008931,W00008931,360,81.1,33,7.4,393,88.5,W00008931,W00008931,386,86.9,58,13.1,W00008931,W00008931,111,24.8,19,4.3,130,29.1
W00008932,W00008932,479,87.1,71,12.9,W00008932,W00008932,473,86.0,17,3.1,490,89.1,W00008932,W00008932,479,87.1,71,12.9,W00008932,W00008932,138,25.0,9,1.6,147,26.6
