2021 output area,mnemonic,Cannot read Welsh,% cannot read Welsh,Can read Welsh,% Can read Welsh
W00009276,W00009276,275,81.4,63,18.6
W00009277,W00009277,225,85.6,38,14.4
W00009278,W00009278,221,93.6,15,6.4
W00009279,W00009279,228,87,34,13
W00009280,W00009280,262,84.8,47,15.2
W00009281,W00009281,316,86.6,49,13.4
W00009282,W00009282,249,90.9,25,9.1
W00009283,W00009283,253,83.2,51,16.8
W00009284,W00009284,272,90.4,29,9.6
W00009285,W00009285,259,82.5,55,17.5
W00009286,W00009286,235,88.3,31,11.7
W00009287,W00009287,232,85,41,15
W00009288,W00009288,280,89.2,34,10.8
W00009289,W00009289,251,91.3,24,8.7
W00009290,W00009290,250,85,44,15
W00009291,W00009291,195,93.8,13,6.2
W00009292,W00009292,285,85.6,48,14.4
W00009293,W00009293,318,88.6,41,11.4
W00009294,W00009294,241,97.6,6,2.4
W00009295,W00009295,344,94.8,19,5.2
W00009296,W00009296,241,88.3,32,11.7
W00009297,W00009297,296,93.7,20,6.3
W00009298,W00009298,254,95.1,13,4.9
W00009299,W00009299,359,97,11,3
W00009300,W00009300,274,95.1,14,4.9
W00009301,W00009301,287,89.4,34,10.6
W00009302,W00009302,275,88.1,37,11.9
W00009303,W00009303,243,90,27,10
W00009304,W00009304,254,82.5,54,17.5
W00009305,W00009305,230,91.6,21,8.4
W00009306,W00009306,233,92.5,19,7.5
W00009307,W00009307,279,90,31,10
W00009308,W00009308,225,93.4,16,6.6
W00009309,W00009309,286,91.7,26,8.3
W00009310,W00009310,290,92.7,23,7.3
W00009311,W00009311,251,89.3,30,10.7
W00009312,W00009312,305,87.6,43,12.4
W00009313,W00009313,174,91.6,16,8.4
W00009314,W00009314,250,91.2,24,8.8
W00009315,W00009315,243,83.8,47,16.2
W00009316,W00009316,238,93,18,7
W00009317,W00009317,282,94.9,15,5.1
W00009318,W00009318,335,91.3,32,8.7
W00009319,W00009319,290,92.4,24,7.6
W00009320,W00009320,296,92.5,24,7.5
W00009321,W00009321,258,86.9,39,13.1
W00009322,W00009322,359,95,19,5
W00009323,W00009323,302,89.3,36,10.7
W00009324,W00009324,286,94.7,16,5.3
W00009325,W00009325,335,91.5,31,8.5
W00009326,W00009326,285,93.4,20,6.6
W00009327,W00009327,252,92,22,8
W00009328,W00009328,302,92.6,24,7.4
W00009329,W00009329,309,93.6,21,6.4
W00009330,W00009330,389,86.4,61,13.6
W00009331,W00009331,338,93.9,22,6.1
W00009332,W00009332,299,93.4,21,6.6
W00009333,W00009333,305,89.2,37,10.8
W00009334,W00009334,255,91.7,23,8.3
W00009335,W00009335,319,93.8,21,6.2
W00009336,W00009336,263,92.9,20,7.1
W00009337,W00009337,439,91.5,41,8.5
W00009338,W00009338,272,86.9,41,13.1
W00009339,W00009339,348,94.3,21,5.7
W00009340,W00009340,358,88.4,47,11.6
W00009341,W00009341,276,88.5,36,11.5
W00009342,W00009342,378,94.5,22,5.5
W00009343,W00009343,252,91.6,23,8.4
W00009344,W00009344,357,94.9,19,5.1
W00009345,W00009345,351,92.4,29,7.6
W00009346,W00009346,312,92.9,24,7.1
W00009347,W00009347,217,85.8,36,14.2
W00009348,W00009348,267,88.4,35,11.6
W00009349,W00009349,253,93,19,7
W00009350,W00009350,205,89.5,24,10.5
W00009351,W00009351,322,95,17,5
W00009352,W00009352,303,91.3,29,8.7
W00009353,W00009353,312,93.7,21,6.3
W00009354,W00009354,343,90.5,36,9.5
W00009355,W00009355,236,92.9,18,7.1
W00009356,W00009356,329,86.4,52,13.6
W00009357,W00009357,274,91,27,9
W00009358,W00009358,398,92.1,34,7.9
W00009359,W00009359,225,88.6,29,11.4
W00009360,W00009360,292,93.3,21,6.7
W00009361,W00009361,374,91.4,35,8.6
W00009362,W00009362,263,88.9,33,11.1
W00009363,W00009363,184,96.8,6,3.2
W00009364,W00009364,284,91.6,26,8.4
W00009365,W00009365,229,92,20,8
