2021 output area,mnemonic,Europe: United Kingdom,% Europe: United Kingdom,No passport held,% No passport held,combined uk,% combined uk
W00010194,W00010194,290,78.6,15,4.1,305,82.7
W00010195,W00010195,108,67.9,8,5,116,72.9
W00010196,W00010196,116,67.8,9,5.3,125,73.1
W00010197,W00010197,149,78.4,8,4.2,157,82.6
W00010198,W00010198,199,72.9,22,8.1,221,81
W00010199,W00010199,224,85.2,25,9.5,249,94.7
W00010200,W00010200,169,66.5,4,1.6,173,68.1
W00010201,W00010201,171,71.8,9,3.8,180,75.6
W00010202,W00010202,169,77.9,9,4.1,178,82
W00010203,W00010203,151,79.5,11,5.8,162,85.3
W00010204,W00010204,169,71.6,9,3.8,178,75.4
W00010205,W00010205,433,62.8,21,3,454,65.8
W00010206,W00010206,147,60.5,35,14.4,182,74.9
W00010207,W00010207,337,77.3,39,8.9,376,86.2
W00010208,W00010208,77,39.1,10,5.1,87,44.2
W00010210,W00010210,116,81.7,12,8.5,128,90.2
W00010211,W00010211,109,69.9,8,5.1,117,75
W00010212,W00010212,60,53.6,22,19.6,82,73.2
W00010213,W00010213,122,89.7,11,8.1,133,97.8
W00010214,W00010214,214,75.6,24,8.5,238,84.1
W00010215,W00010215,142,61.5,15,6.5,157,68
W00010216,W00010216,191,82,15,6.4,206,88.4
W00010217,W00010217,205,79.8,23,8.9,228,88.7
W00010218,W00010218,186,84.5,30,13.6,216,98.1
W00010219,W00010219,270,82.6,19,5.8,289,88.4
W00010221,W00010221,259,89.6,16,5.5,275,95.1
W00010222,W00010222,298,91.1,22,6.7,320,97.8
W00010223,W00010223,717,78,32,3.5,749,81.5
W00010224,W00010224,157,76.2,14,6.8,171,83
W00010225,W00010225,222,85.4,17,6.5,239,91.9
W00010227,W00010227,224,81.2,42,15.2,266,96.4
W00010228,W00010228,335,94.6,8,2.3,343,96.9
W00010229,W00010229,157,80.9,15,7.7,172,88.6
W00010230,W00010230,113,80.1,2,1.4,115,81.5
W00010231,W00010231,253,95.5,8,3,261,98.5
W00010232,W00010232,87,84.5,9,8.7,96,93.2
W00010363,W00010363,154,88.5,14,8,168,96.5
W00010497,W00010497,1542,89.3,81,4.7,1623,94
W00010498,W00010498,1310,87.8,65,4.4,1375,92.2
W00010500,W00010500,213,85.5,11,4.4,224,89.9
W00010502,W00010502,178,71.5,52,20.9,230,92.4
W00010510,W00010510,100,87,7,6.1,107,93.1
W00010517,W00010517,237,83.7,24,8.5,261,92.2
W00010519,W00010519,378,61.7,36,5.9,414,67.6
W00010522,W00010522,300,91.5,9,2.7,309,94.2
W00010523,W00010523,101,54.6,33,17.8,134,72.4
W00010526,W00010526,243,88,19,6.9,262,94.9
W00010528,W00010528,295,75.1,27,6.9,322,82
W00010529,W00010529,109,79,6,4.3,115,83.3
W00010534,W00010534,301,90.7,24,7.2,325,97.9
W00010535,W00010535,331,90.7,20,5.5,351,96.2
W00010536,W00010536,169,46.8,26,7.2,195,54
W00010537,W00010537,172,78.5,19,8.7,191,87.2
W00010538,W00010538,293,86.2,26,7.6,319,93.8
W00010541,W00010541,431,53.9,94,11.8,525,65.7
W00010542,W00010542,116,62.4,53,28.5,169,90.9
W00010546,W00010546,168,71.5,34,14.5,202,86
W00010549,W00010549,188,69.4,53,19.6,241,89
W00010552,W00010552,220,85.3,20,7.8,240,93.1
W00010556,W00010556,187,86.6,8,3.7,195,90.3
W00010558,W00010558,246,79.9,48,15.6,294,95.5
W00010559,W00010559,284,55.7,24,4.7,308,60.4
W00010560,W00010560,212,73.9,38,13.2,250,87.1
W00010562,W00010562,314,88.2,17,4.8,331,93
W00010568,W00010568,337,83.6,20,5,357,88.6
W00010569,W00010569,437,86.5,10,2,447,88.5
W00010572,W00010572,119,81,12,8.2,131,89.2
W00010573,W00010573,159,42.3,16,4.3,175,46.6
W00010574,W00010574,190,78.2,14,5.8,204,84
W00010579,W00010579,203,73.8,41,14.9,244,88.7
W00010580,W00010580,447,72.4,39,6.3,486,78.7
W00010581,W00010581,120,74.1,11,6.8,131,80.9
W00010584,W00010584,163,48.5,11,3.3,174,51.8
W00010585,W00010585,227,81.4,43,15.4,270,96.8
W00010586,W00010586,213,81,6,2.3,219,83.3
W00010587,W00010587,428,93.4,20,4.4,448,97.8
W00010589,W00010589,64,63.4,36,35.6,100,99
W00010594,W00010594,261,85.3,28,9.2,289,94.5
W00010595,W00010595,273,88.3,20,6.5,293,94.8
W00010596,W00010596,253,83.2,36,11.8,289,95
W00010597,W00010597,178,83.2,24,11.2,202,94.4
W00010600,W00010600,236,84,17,6,253,90
W00010601,W00010601,99,67.3,13,8.8,112,76.1
W00010602,W00010602,258,89,14,4.8,272,93.8
W00010603,W00010603,578,92.6,21,3.4,599,96
W00010612,W00010612,202,89.4,15,6.6,217,96
W00010613,W00010613,265,82.3,32,9.9,297,92.2
W00010615,W00010615,240,83,12,4.2,252,87.2
W00010623,W00010623,243,88,30,10.9,273,98.9
W00010626,W00010626,182,62.5,12,4.1,194,66.6
W00010629,W00010629,220,77.7,42,14.8,262,92.5
W00010630,W00010630,356,69,23,4.5,379,73.5
W00010631,W00010631,237,81.7,15,5.2,252,86.9
W00010633,W00010633,394,81.6,16,3.3,410,84.9
W00010635,W00010635,137,69.9,26,13.3,163,83.2
W00010636,W00010636,245,88.8,14,5.1,259,93.9
W00010638,W00010638,178,89,6,3,184,92
W00010639,W00010639,252,70.4,69,19.3,321,89.7
W00010640,W00010640,274,74.5,58,15.8,332,90.3
W00010641,W00010641,486,88.8,12,2.2,498,91
W00010643,W00010643,206,61.5,61,18.2,267,79.7
W00010644,W00010644,248,78.2,34,10.7,282,88.9
W00010645,W00010645,231,80.8,32,11.2,263,92
W00010646,W00010646,350,92.8,16,4.2,366,97
W00010648,W00010648,283,78.2,9,2.5,292,80.7
W00010649,W00010649,89,67.9,18,13.7,107,81.6
