2021 output area,mnemonic,Europe: United Kingdom,% Europe: United Kingdom,No passport held,% No passport held,combined uk,% combined uk
W00009054,W00009054,297,89.5,23,6.9,320,96.4
W00009055,W00009055,309,86.3,39,10.9,348,97.2
W00009056,W00009056,277,89.6,25,8.1,302,97.7
W00009057,W00009057,274,89.3,23,7.5,297,96.8
W00009058,W00009058,174,80.2,36,16.6,210,96.8
W00009059,W00009059,281,84.6,42,12.7,323,97.3
W00009060,W00009060,304,90.7,19,5.7,323,96.4
W00009061,W00009061,226,84,28,10.4,254,94.4
W00009062,W00009062,214,85.3,19,7.6,233,92.9
W00009063,W00009063,202,87.1,26,11.2,228,98.3
W00009064,W00009064,247,80.2,52,16.9,299,97.1
W00009065,W00009065,247,77.7,64,20.1,311,97.8
W00009066,W00009066,256,80.3,56,17.6,312,97.9
W00009067,W00009067,255,80.4,51,16.1,306,96.5
W00009068,W00009068,212,81.2,31,11.9,243,93.1
W00009069,W00009069,254,78.6,53,16.4,307,95
W00009070,W00009070,260,75.6,66,19.2,326,94.8
W00009071,W00009071,170,68.5,66,26.6,236,95.1
W00009072,W00009072,210,72.4,64,22.1,274,94.5
W00009073,W00009073,295,73.2,83,20.6,378,93.8
W00009074,W00009074,273,73,43,11.5,316,84.5
W00009075,W00009075,293,83.5,18,5.1,311,88.6
W00009077,W00009077,275,78.6,30,8.6,305,87.2
W00009080,W00009080,292,73,37,9.2,329,82.2
W00009081,W00009081,244,77.7,27,8.6,271,86.3
W00009082,W00009082,276,71.9,41,10.7,317,82.6
W00009084,W00009084,227,76.7,38,12.8,265,89.5
W00009085,W00009085,309,70.9,43,9.9,352,80.8
W00009086,W00009086,272,81.7,17,5.1,289,86.8
W00009087,W00009087,293,77.1,18,4.7,311,81.8
W00009088,W00009088,340,71.1,38,7.9,378,79
W00009089,W00009089,270,77.6,41,11.8,311,89.4
W00009090,W00009090,337,90.8,14,3.8,351,94.6
W00009091,W00009091,246,63.2,56,14.4,302,77.6
W00009092,W00009092,205,68.6,27,9,232,77.6
W00009093,W00009093,268,74,8,2.2,276,76.2
W00009094,W00009094,190,76.9,29,11.7,219,88.6
W00009095,W00009095,265,66.1,54,13.5,319,79.6
W00009096,W00009096,346,75.5,44,9.6,390,85.1
W00009097,W00009097,221,66,46,13.7,267,79.7
W00009098,W00009098,308,79.8,32,8.3,340,88.1
W00009099,W00009099,246,82.8,28,9.4,274,92.2
W00009100,W00009100,284,72.1,54,13.7,338,85.8
W00009101,W00009101,320,70.8,52,11.5,372,82.3
W00009102,W00009102,220,82.4,23,8.6,243,91
W00009104,W00009104,316,60.8,34,6.5,350,67.3
W00009105,W00009105,339,75.8,27,6,366,81.8
W00009106,W00009106,296,77.5,34,8.9,330,86.4
W00009107,W00009107,236,65.7,89,24.8,325,90.5
W00009108,W00009108,230,78.8,29,9.9,259,88.7
W00009109,W00009109,140,68.3,42,20.5,182,88.8
W00009110,W00009110,314,80.9,37,9.5,351,90.4
W00009111,W00009111,277,84.7,34,10.4,311,95.1
W00009112,W00009112,281,70.1,32,8,313,78.1
W00009113,W00009113,266,79.2,31,9.2,297,88.4
W00009114,W00009114,369,83.5,34,7.7,403,91.2
W00009115,W00009115,239,76.6,38,12.2,277,88.8
W00009116,W00009116,283,83.2,29,8.5,312,91.7
W00009117,W00009117,358,77.5,48,10.4,406,87.9
W00009118,W00009118,144,55.8,58,22.5,202,78.3
W00009119,W00009119,270,74.4,40,11,310,85.4
W00009120,W00009120,285,72.5,69,17.6,354,90.1
W00009121,W00009121,212,70.2,59,19.5,271,89.7
W00009123,W00009123,386,75.7,47,9.2,433,84.9
W00009125,W00009125,267,75.2,46,13,313,88.2
W00009126,W00009126,303,83,15,4.1,318,87.1
W00009127,W00009127,242,70.1,31,9,273,79.1
W00009128,W00009128,294,83.5,19,5.4,313,88.9
W00009129,W00009129,336,74.5,36,8,372,82.5
W00009130,W00009130,187,67.8,27,9.8,214,77.6
W00009131,W00009131,260,76.7,41,12.1,301,88.8
W00009132,W00009132,219,70.6,34,11,253,81.6
W00009133,W00009133,262,83.2,31,9.8,293,93
W00009134,W00009134,196,74.8,38,14.5,234,89.3
W00009135,W00009135,337,82.8,31,7.6,368,90.4
W00009136,W00009136,219,68.7,18,5.6,237,74.3
W00009137,W00009137,154,66.1,20,8.6,174,74.7
W00009138,W00009138,288,92.9,16,5.2,304,98.1
W00009139,W00009139,269,90.9,22,7.4,291,98.3
W00009140,W00009140,368,91.3,29,7.2,397,98.5
W00009141,W00009141,383,78,53,10.8,436,88.8
W00009142,W00009142,165,77.5,38,17.8,203,95.3
W00009143,W00009143,271,92.8,20,6.8,291,99.6
W00009144,W00009144,220,81.2,26,9.6,246,90.8
W00009145,W00009145,248,80.3,37,12,285,92.3
W00009146,W00009146,282,87.6,20,6.2,302,93.8
W00009147,W00009147,248,85.2,33,11.3,281,96.5
W00009148,W00009148,88,75.9,19,16.4,107,92.3
W00009149,W00009149,333,89.5,18,4.8,351,94.3
W00009150,W00009150,318,90.9,19,5.4,337,96.3
W00009151,W00009151,294,89.4,32,9.7,326,99.1
W00009152,W00009152,278,79.7,39,11.2,317,90.9
W00009153,W00009153,268,86.7,30,9.7,298,96.4
W00009154,W00009154,350,85.8,18,4.4,368,90.2
W00009155,W00009155,135,72.2,24,12.8,159,85
W00009156,W00009156,234,90,24,9.2,258,99.2
W00009157,W00009157,424,85.8,42,8.5,466,94.3
W00009159,W00009159,349,78.3,63,14.1,412,92.4
W00009160,W00009160,307,90.8,25,7.4,332,98.2
W00009161,W00009161,368,89.5,35,8.5,403,98
W00009162,W00009162,248,89.5,21,7.6,269,97.1
W00009163,W00009163,309,93.4,12,3.6,321,97
W00009164,W00009164,296,89.4,20,6,316,95.4
W00009165,W00009165,246,91.8,18,6.7,264,98.5
