2021 output area,mnemonic,Welsh only identity,% Welsh only identity,Welsh and British only identity,% Welsh and British only identity,Combined Welsh and British,% Combined Welsh and British
W00009137,W00009137,107,46.5,13,5.7,120,52.2
W00009138,W00009138,175,56.3,27,8.7,202,65
W00009139,W00009139,164,55.2,36,12.1,200,67.3
W00009140,W00009140,228,56.6,42,10.4,270,67
W00009141,W00009141,246,50.2,49,10,295,60.2
W00009142,W00009142,126,58.6,15,7,141,65.6
W00009143,W00009143,149,51.2,65,22.3,214,73.5
W00009144,W00009144,175,64.1,12,4.4,187,68.5
W00009145,W00009145,153,50.2,30,9.8,183,60
W00009146,W00009146,168,51.2,36,11,204,62.2
W00009147,W00009147,173,59.7,23,7.9,196,67.6
W00009148,W00009148,41,35,19,16.2,60,51.2
W00009149,W00009149,206,55.4,40,10.8,246,66.2
W00009150,W00009150,189,54.2,39,11.2,228,65.4
W00009151,W00009151,188,57.5,39,11.9,227,69.4
W00009152,W00009152,188,55,36,10.5,224,65.5
W00009153,W00009153,165,52.9,46,14.7,211,67.6
W00009154,W00009154,159,38.7,36,8.8,195,47.5
W00009155,W00009155,66,34.6,20,10.5,86,45.1
W00009156,W00009156,138,53.3,28,10.8,166,64.1
W00009157,W00009157,260,52.7,43,8.7,303,61.4
W00009159,W00009159,212,47.5,43,9.6,255,57.1
W00009160,W00009160,182,53.7,23,6.8,205,60.5
W00009161,W00009161,241,58.6,44,10.7,285,69.3
W00009162,W00009162,172,61.4,21,7.5,193,68.9
W00009163,W00009163,184,55.4,28,8.4,212,63.8
W00009164,W00009164,196,59.2,33,10,229,69.2
W00009165,W00009165,160,59.3,24,8.9,184,68.2
W00009166,W00009166,158,50,33,10.4,191,60.4
W00009168,W00009168,135,57.9,11,4.7,146,62.6
W00009169,W00009169,188,52.8,38,10.7,226,63.5
W00009170,W00009170,180,58.1,42,13.5,222,71.6
W00009171,W00009171,248,47.1,51,9.7,299,56.8
W00009172,W00009172,184,59.9,19,6.2,203,66.1
W00009173,W00009173,133,53.4,21,8.4,154,61.8
W00009174,W00009174,196,58.5,37,11,233,69.5
W00009175,W00009175,184,55.6,32,9.7,216,65.3
W00009176,W00009176,153,42.3,40,11,193,53.3
W00009177,W00009177,157,47.1,29,8.7,186,55.8
W00009178,W00009178,105,42,30,12,135,54
W00009179,W00009179,141,44.1,26,8.1,167,52.2
W00009180,W00009180,120,35.5,47,13.9,167,49.4
W00009181,W00009181,221,41.2,65,12.1,286,53.3
W00009182,W00009182,109,35.2,38,12.3,147,47.5
W00009183,W00009183,189,45,60,14.3,249,59.3
W00009184,W00009184,135,44.1,25,8.2,160,52.3
W00009186,W00009186,164,60.1,25,9.2,189,69.3
W00009187,W00009187,141,52.8,30,11.2,171,64
W00009188,W00009188,177,55.5,26,8.2,203,63.7
W00009189,W00009189,170,58,19,6.5,189,64.5
W00009190,W00009190,165,53.2,31,10,196,63.2
W00009191,W00009191,256,56,32,7,288,63
W00009192,W00009192,95,42,22,9.7,117,51.7
W00009193,W00009193,86,41.1,21,10,107,51.1
W00009194,W00009194,190,52.9,34,9.5,224,62.4
W00009195,W00009195,124,36.9,30,8.9,154,45.8
W00009196,W00009196,182,64.5,21,7.4,203,71.9
W00009197,W00009197,159,53.9,32,10.8,191,64.7
W00009198,W00009198,230,54.2,39,9.2,269,63.4
W00009199,W00009199,166,54.4,32,10.5,198,64.9
W00009200,W00009200,154,51.3,28,9.3,182,60.6
W00009201,W00009201,157,53.6,38,13,195,66.6
W00009202,W00009202,142,53.4,38,14.3,180,67.7
W00009203,W00009203,120,53.8,19,8.5,139,62.3
W00009204,W00009204,111,45.1,31,12.6,142,57.7
W00009205,W00009205,188,58.2,27,8.4,215,66.6
W00009206,W00009206,146,50.7,44,15.3,190,66
W00009207,W00009207,112,51.6,25,11.5,137,63.1
W00009208,W00009208,168,51.9,61,18.8,229,70.7
W00009209,W00009209,142,56.3,21,8.3,163,64.6
W00009210,W00009210,106,46.5,30,13.2,136,59.7
W00009211,W00009211,158,60.5,33,12.6,191,73.1
W00009212,W00009212,127,52.3,15,6.2,142,58.5
W00009213,W00009213,163,56.4,24,8.3,187,64.7
W00009214,W00009214,152,58.5,36,13.8,188,72.3
W00009215,W00009215,186,63.3,25,8.5,211,71.8
W00009216,W00009216,214,62.9,19,5.6,233,68.5
W00009217,W00009217,138,50.9,40,14.8,178,65.7
W00009218,W00009218,187,60.7,18,5.8,205,66.5
W00009219,W00009219,152,56.3,27,10,179,66.3
W00009220,W00009220,206,63.2,26,8,232,71.2
W00009221,W00009221,202,58.2,31,8.9,233,67.1
W00009222,W00009222,154,54,9,3.2,163,57.2
W00009223,W00009223,201,59.1,14,4.1,215,63.2
W00009224,W00009224,176,58.5,22,7.3,198,65.8
W00009225,W00009225,168,53.8,23,7.4,191,61.2
W00009226,W00009226,202,60.8,44,13.3,246,74.1
W00009227,W00009227,159,60.5,23,8.7,182,69.2
W00009228,W00009228,127,48.7,31,11.9,158,60.6
W00009229,W00009229,200,55.4,40,11.1,240,66.5
W00009230,W00009230,174,49.9,29,8.3,203,58.2
W00009231,W00009231,144,58.1,17,6.9,161,65
W00009232,W00009232,170,50.4,51,15.1,221,65.5
W00009233,W00009233,164,49.4,49,14.8,213,64.2
W00009234,W00009234,138,56.1,33,13.4,171,69.5
W00009235,W00009235,197,60.2,18,5.5,215,65.7
W00009236,W00009236,191,51.8,34,9.2,225,61
W00009237,W00009237,215,50,40,9.3,255,59.3
W00009238,W00009238,172,58.9,25,8.6,197,67.5
W00009239,W00009239,181,55.5,32,9.8,213,65.3
W00009240,W00009240,157,52.9,31,10.4,188,63.3
W00009241,W00009241,218,67.5,28,8.7,246,76.2
W00009242,W00009242,196,57,27,7.8,223,64.8
W00009243,W00009243,162,49.2,54,16.4,216,65.6
W00009244,W00009244,147,55.5,28,10.6,175,66.1
W00009245,W00009245,264,56.7,40,8.6,304,65.3
W00009246,W00009246,168,48.8,34,9.9,202,58.7
W00009247,W00009247,170,55.9,10,3.3,180,59.2
W00009248,W00009248,162,55.9,29,10,191,65.9
W00009249,W00009249,135,45.2,17,5.7,152,50.9
W00009250,W00009250,175,61.6,20,7,195,68.6
W00009251,W00009251,211,54,33,8.4,244,62.4
W00009252,W00009252,205,49.2,28,6.7,233,55.9
W00009253,W00009253,208,67.5,22,7.1,230,74.6
W00009254,W00009254,161,48.2,55,16.5,216,64.7
W00009255,W00009255,171,58.8,32,11,203,69.8
W00009256,W00009256,227,60.9,30,8,257,68.9
W00009258,W00009258,229,62.4,30,8.2,259,70.6
W00009259,W00009259,140,53,32,12.1,172,65.1
W00009260,W00009260,169,54.7,23,7.4,192,62.1
W00009261,W00009261,163,47,38,11,201,58
W00009262,W00009262,134,47.2,37,13,171,60.2
W00009263,W00009263,244,61,38,9.5,282,70.5
W00009264,W00009264,155,53.3,26,8.9,181,62.2
W00009265,W00009265,135,48.9,27,9.8,162,58.7
W00009266,W00009266,143,55.9,25,9.8,168,65.7
W00009267,W00009267,107,46.3,20,8.7,127,55
W00009268,W00009268,138,58.5,24,10.2,162,68.7
W00009269,W00009269,146,51.8,36,12.8,182,64.6
W00009270,W00009270,127,47.4,38,14.2,165,61.6
W00009271,W00009271,98,44.3,28,12.7,126,57
W00009272,W00009272,149,52.7,37,13.1,186,65.8
W00009273,W00009273,124,51.9,28,11.7,152,63.6
W00009274,W00009274,139,51.5,22,8.1,161,59.6
W00009275,W00009275,124,51.2,12,5,136,56.2
W00009276,W00009276,141,41.2,37,10.8,178,52
W00009277,W00009277,165,60.7,30,11,195,71.7
W00009278,W00009278,141,57.3,23,9.3,164,66.6
W00009279,W00009279,145,54.1,30,11.2,175,65.3
W00009280,W00009280,174,54.2,31,9.7,205,63.9
W00009281,W00009281,231,61.1,29,7.7,260,68.8
W00009282,W00009282,173,61.1,20,7.1,193,68.2
W00009283,W00009283,228,71.5,30,9.4,258,80.9
W00009284,W00009284,193,62.5,13,4.2,206,66.7
W00009285,W00009285,214,64.5,29,8.7,243,73.2
W00009286,W00009286,151,54.3,33,11.9,184,66.2
W00009287,W00009287,131,47.6,45,16.4,176,64
W00009288,W00009288,200,61.7,25,7.7,225,69.4
W00009289,W00009289,181,62.6,24,8.3,205,70.9
W00009290,W00009290,175,56.6,42,13.6,217,70.2
W00009291,W00009291,106,50.7,35,16.7,141,67.4
W00009292,W00009292,189,56.2,18,5.4,207,61.6
W00009293,W00009293,225,59.5,21,5.6,246,65.1
W00009294,W00009294,148,58.5,34,13.4,182,71.9
W00009295,W00009295,261,69.4,35,9.3,296,78.7
W00009296,W00009296,155,55,37,13.1,192,68.1
W00009297,W00009297,207,63.9,24,7.4,231,71.3
W00009298,W00009298,187,68,40,14.5,227,82.5
W00009299,W00009299,205,52.8,45,11.6,250,64.4
W00009300,W00009300,198,68.3,29,10,227,78.3
W00009301,W00009301,176,53.2,44,13.3,220,66.5
W00009302,W00009302,216,66.5,19,5.8,235,72.3
W00009303,W00009303,173,60.7,23,8.1,196,68.8
W00009304,W00009304,221,69.3,35,11,256,80.3
W00009305,W00009305,153,57.3,29,10.9,182,68.2
W00009306,W00009306,143,54.2,30,11.4,173,65.6
W00009307,W00009307,216,66.3,39,12,255,78.3
W00009308,W00009308,149,60.1,10,4,159,64.1
W00009309,W00009309,187,59,54,17,241,76
W00009310,W00009310,202,62,41,12.6,243,74.6
W00009311,W00009311,186,64.8,37,12.9,223,77.7
W00009312,W00009312,234,65.9,34,9.6,268,75.5
W00009313,W00009313,105,53.3,17,8.6,122,61.9
W00009314,W00009314,159,55.4,35,12.2,194,67.6
W00009315,W00009315,178,60.1,25,8.4,203,68.5
W00009316,W00009316,179,67.3,19,7.1,198,74.4
W00009317,W00009317,156,51,27,8.8,183,59.8
